drug_name,adr_category,description
c(cc(=o)nc(cs)c(=o)ncc(=o)o)c(c(=o)o)n,Hepatobiliary disorders,0
c(c(co)o)o,Hepatobiliary disorders,0
c(=o)(o)o,Hepatobiliary disorders,0
cc(=o)nc1c(c(c(oc1o)cos(=o)(=o)o)oc2c(c(c(c(o2)c(=o)o)oc3c(c(c(c(o3)co)oc4c(c(c(c(o4)c(=o)o)o)o)os(=o)(=o)o)os(=o)(=o)o)ns(=o)(=o)o)o)os(=o)(=o)o)o,Hepatobiliary disorders,0
ii,Hepatobiliary disorders,0
[k+],Hepatobiliary disorders,0
c1c(c(c(c(c1n)oc2c(c(c(c(o2)cn)o)o)o)o)oc3c(c(c(c(o3)co)o)n)o)n,Hepatobiliary disorders,0
c1=cc(=c(c=c1cc(c(=o)o)n)o)o,Hepatobiliary disorders,0
cncc(c1=cc(=c(c=c1)o)o)o,Hepatobiliary disorders,0
c1=c(c=c(c(=c1i)oc2=cc(=c(c(=c2)i)o)i)i)cc(c(=o)o)n,Hepatobiliary disorders,0
c1=cc(=c(c=c1oc2=c(c=c(c=c2i)cc(c(=o)o)n)i)i)o,Hepatobiliary disorders,0
c(ccn)cc(c(=o)o)n,Hepatobiliary disorders,0
[mg+2],Hepatobiliary disorders,0
cc(=o)nccc1=cnc2=c1c=c(c=c2)oc,Hepatobiliary disorders,0
[na+],Hepatobiliary disorders,0
c1=cc(=c[n+](=c1)c2c(c(c(o2)cop(=o)(o)op(=o)(o)occ3c(c(c(o3)n4c=nc5=c4n=cn=c5n)op(=o)(o)o)o)o)o)c(=o)n,Hepatobiliary disorders,0
c1=cc(=cn=c1)c(=o)n,Hepatobiliary disorders,0
c1=cc(=cn=c1)c(=o)[o-],Hepatobiliary disorders,0
cn1cccc1c2=cn=cc=c2,Hepatobiliary disorders,0
[n+](=o)([o-])[o-],Hepatobiliary disorders,0
[n-]=[n+]=o,Hepatobiliary disorders,0
c1=cc(=c(c=c1c(cn)o)o)o,Hepatobiliary disorders,0
[oh-],Hepatobiliary disorders,0
o=o,Hepatobiliary disorders,0
op(=o)(o)[o-],Hepatobiliary disorders,0
ccc(=o)o,Hepatobiliary disorders,0
c1=cn=c(c=n1)c(=o)n,Hepatobiliary disorders,0
cc1=nc=c(c(=c1o)c=o)co,Hepatobiliary disorders,0
cc1=nc=c(c(=c1o)c=o)cop(=o)(o)o,Hepatobiliary disorders,0
cc1=nc=c(c(=c1o)co)co,Hepatobiliary disorders,0
coc1=cc2=c(c=cn=c2c=c1)c(c3cc4ccn3cc4c=c)o,Hepatobiliary disorders,0
csc,Hepatobiliary disorders,0
cc1=c(c(ccc1)(c)c)c=cc(=cc=cc(=cco)c)c,Hepatobiliary disorders,0
c(c(c(=o)o)n)scc(=o)o,Hepatobiliary disorders,0
[o-]s(=o)(=o)[o-],Hepatobiliary disorders,0
c(cs(=o)(=o)o)n,Hepatobiliary disorders,0
cc(c(c1cnc2=c(n1)c(=o)n=c(n2)n)o)o,Hepatobiliary disorders,0
cc1=c(sc=[n+]1cc2=cn=c(n=c2n)c)cco,Hepatobiliary disorders,0
cc1=cn(c(=o)nc1=o)c2cc(c(o2)co)o,Hepatobiliary disorders,0
cc1=c(c(=o)c(=c(c1=o)oc)oc)cc=c(c)ccc=c(c)ccc=c(c)ccc=c(c)ccc=c(c)ccc=c(c)ccc=c(c)ccc=c(c)ccc=c(c)ccc=c(c)c,Hepatobiliary disorders,0
c(=o)(n)n,Hepatobiliary disorders,0
cc(cc1=cc=cc=c1)nc,Hepatobiliary disorders,0
cc(c1=cc2=c(c=c1)c=c(c=c2)oc)c(=o)o,Hepatobiliary disorders,0
c1c(c(oc1n2c=nc3=c2n=c(n=c3n)cl)co)o,Hepatobiliary disorders,0
cc(cc1=cc2=c(c=c1)oco2)nc,Hepatobiliary disorders,0
cc1c(c(cc(o1)oc2cc(cc3=c(c4=c(c(=c23)o)c(=o)c5=c(c4=o)c=cc=c5oc)o)(c(=o)co)o)[nh3+])o,Hepatobiliary disorders,0
c1=cc=c(c=c1)c2(c(=o)nc(=o)n2)c3=cc=cc=c3,Hepatobiliary disorders,0
c1=nc(=nc(=o)n1c2c(c(c(o2)co)o)o)n,Hepatobiliary disorders,0
cc1cc2c3ccc(c3(cc(c2c4(c1=cc(=o)c=c4)c)o)c)(c(=o)coc(=o)ccc(=o)o)o,Hepatobiliary disorders,0
c1cc1nc2=nc(=nc3=c2n=cn3c4cc(c=c4)co)n,Hepatobiliary disorders,0
cc1c=cc=cc=cc=cc=cc=cc=cc(cc2c(c(cc(o2)(cc(cc(c(ccc(cc(cc(=o)oc(c(c1o)c)c)o)o)o)o)o)o)o)c(=o)o)oc3c(c(c(c(o3)c)o)n)o,Hepatobiliary disorders,0
cccc(=o)nc1=cc(=c(c=c1)occ(cnc(c)c)o)c(=o)c,Hepatobiliary disorders,0
cc1=c(c2=c(n1c(=o)c3=cc=c(c=c3)cl)c=cc(=c2)oc)cc(=o)occ(=o)o,Hepatobiliary disorders,0
cc(=o)nc1=cc=c(c=c1)o,Hepatobiliary disorders,0
cc(=o)nc1=nn=c(s1)s(=o)(=o)n,Hepatobiliary disorders,0
cc(=o)nc1=cc=c(c=c1)cc(=o)o,Hepatobiliary disorders,0
cc1c(c(=o)nc(c(=o)n2cccc2c(=o)n(cc(=o)n(c(c(=o)o1)c(c)c)c)c)c(c)c)nc(=o)c3=c4c(=c(c=c3)c)oc5=c(c(=o)c(=c(c5=n4)c(=o)nc6c(oc(=o)c(n(c(=o)cn(c(=o)c7cccn7c(=o)c(nc6=o)c(c)c)c)c)c(c)c)c)n)c,Hepatobiliary disorders,0
c1=nc2=c(n1cocco)nc(=nc2=o)n,Hepatobiliary disorders,0
cccsc1=cc2=c(c=c1)n=c(n2)nc(=o)oc,Hepatobiliary disorders,0
cc(c)(c)ncc(c1=cc(=c(c=c1)o)co)o,Hepatobiliary disorders,0
c(cc(o)(p(=o)(o)o)p(=o)(o)o)cn,Hepatobiliary disorders,0
cc(c)cccc(c)c1ccc2c1(cccc2=cc=c3cc(cc(c3=c)o)o)c,Hepatobiliary disorders,0
cn(cccnc(=o)c1ccco1)c2=nc3=cc(=c(c=c3c(=n2)n)oc)oc,Hepatobiliary disorders,0
c1=c2c(=nc=nc2=o)nn1,Hepatobiliary disorders,0
cc1=c(n=cn1)cn2ccc3=c(c2=o)c4=cc=cc=c4n3c,Hepatobiliary disorders,0
cc1=c(c(=c2ccc(oc2=c1c)(c)cccc(c)cccc(c)cccc(c)c)c)o,Hepatobiliary disorders,0
cc1=c2c(=c(c(=c1c)oc(=o)c)c)ccc(o2)(c)cccc(c)cccc(c)cccc(c)c,Hepatobiliary disorders,0
cc1=nn=c2n1c3=c(c=c(c=c3)cl)c(=nc2)c4=cc=cc=c4,Hepatobiliary disorders,0
c1c2cc3cc1cc(c2)(c3)n,Hepatobiliary disorders,0
c1cc(ccc1ncc2=cc(=cc(=c2n)br)br)o,Hepatobiliary disorders,0
cc(=o)nc1=c(c(=c(c(=c1i)c(=o)o)i)nc(=o)c)i,Hepatobiliary disorders,0
c(cn)cnccsp(=o)(o)o,Hepatobiliary disorders,0
c1c(c(c(c(c1nc(=o)c(ccn)o)oc2c(c(c(c(o2)co)o)n)o)o)oc3c(c(c(c(o3)cn)o)o)o)n,Hepatobiliary disorders,0
cn1c2=c(c(=o)n(c1=o)c)nc=n2,Hepatobiliary disorders,0
ccccc1=c(c2=cc=cc=c2o1)c(=o)c3=cc(=c(c(=c3)i)occ[nh+](cc)cc)i,Hepatobiliary disorders,0
ccn1cccc1cnc(=o)c2=cc(=c(c=c2oc)n)s(=o)(=o)cc,Hepatobiliary disorders,0
cn(c)ccc=c1c2=cc=cc=c2ccc3=cc=cc=c31,Hepatobiliary disorders,0
ccoc(=o)c1=c(nc(=c(c1c2=cc=cc=c2cl)c(=o)oc)c)coccn,Hepatobiliary disorders,0
c1cn(ccn1)c2=nc3=cc=cc=c3oc4=c2c=c(c=c4)cl,Hepatobiliary disorders,0
cc1(c(n2c(s1)c(c2=o)nc(=o)c(c3=cc=c(c=c3)o)n)c(=o)o)c,Hepatobiliary disorders,0
c1c2n(c1=o)c(c(=cco)o2)c(=o)o,Hepatobiliary disorders,0
cc1(c(n2c(s1)c(c2=o)nc(=o)c(c3=cc=cc=c3)n)c(=o)[o-])c,Hepatobiliary disorders,0
cc(c)cn(cc(c(cc1=cc=cc=c1)nc(=o)oc2ccoc2)o)s(=o)(=o)c3=cc=c(c=c3)n,Hepatobiliary disorders,0
c1c2=c(c=cc(=c2cl)cl)nc3=nc(=o)cn31,Hepatobiliary disorders,0
cc(c)(c#n)c1=cc(=cc(=c1)cn2c=nc=n2)c(c)(c)c#n,Hepatobiliary disorders,0
coc1=cc=c(c=c1)c2=cc(=s)ss2,Hepatobiliary disorders,0
cn1ccc2=cc=cc3=c2c1cc4=c3c(=c(c=c4)o)o,Hepatobiliary disorders,0
c1cc(c(oc1cn)oc2c(cc(c(c2o)oc3c(c(c(c(o3)co)o)n)o)nc(=o)c(ccn)o)n)n,Hepatobiliary disorders,0
cc1ccn(c(c1)c(=o)o)c(=o)c(cccn=c(n)n)ns(=o)(=o)c2=cc=cc3=c2ncc(c3)c,Hepatobiliary disorders,0
cc(c)(c)ncc(csc1=nc(=cs1)c2=cc=c(s2)c(=o)n)o,Hepatobiliary disorders,0
cc(=o)oc1=cc=cc=c1c(=o)o,Hepatobiliary disorders,0
cc(c)ncc(coc1=cc=c(c=c1)cc(=o)n)o,Hepatobiliary disorders,0
cc(c)c1=c(c(=c(n1ccc(cc(cc(=o)o)o)o)c2=cc=c(c=c2)f)c3=cc=cc=c3)c(=o)nc4=cc=cc=c4,Hepatobiliary disorders,0
cn1c(=o)coc2=c1c=c(c=c2c(=o)nc3cn4ccc3cc4)cl,Hepatobiliary disorders,0
cn1c=nc(=c1sc2=nc=nc3=c2nc=n3)[n+](=o)[o-],Hepatobiliary disorders,0
c(cccc(=o)o)cccc(=o)o,Hepatobiliary disorders,0
cn1cccc(cc1)n2c(=o)c3=cc=cc=c3c(=n2)cc4=cc=c(c=c4)cl,Hepatobiliary disorders,0
ccc1c(c(c(n(cc(cc(c(c(c(c(c(=o)o1)c)oc2cc(c(c(o2)c)o)(c)oc)c)oc3c(c(cc(o3)c)n(c)c)o)(c)o)c)c)c)o)(c)o,Hepatobiliary disorders,0
c1=csc(=c1)cnc2=cc(=c(c=c2c3=nnn=n3)s(=o)(=o)n)cl,Hepatobiliary disorders,0
cc1c(c(=o)n1s(=o)(=o)o)nc(=o)c(=noc(c)(c)c(=o)o)c2=csc(=n2)n,Hepatobiliary disorders,0
cc1=c2c(=cc(=c2c=c(c=c1)c(c)c)c)s(=o)(=o)o,Hepatobiliary disorders,0
ccc(c)c1c(=o)nc(c(=o)nc(c(=o)nc(c(=o)nc(c(=o)nc(c(=o)nc(c(=o)n1)cccn)ccccnc(=o)c(c(c)cc)nc(=o)c(ccc(=o)o)nc(=o)c(cc(c)c)nc(=o)c2csc(=n2)c(c(c)cc)n)cc(=o)n)cc(=o)o)cc3=cn=cn3)cc4=cc=cc=c4,Hepatobiliary disorders,0
c1=cc(=cc=c1c(cc(=o)o)cn)cl,Hepatobiliary disorders,0
ccc(=o)occ(=o)c1(c(cc2c1(cc(c3(c2ccc4=cc(=o)c=cc43c)cl)o)c)c)oc(=o)cc,Hepatobiliary disorders,0
cc1cc2c3ccc4=cc(=o)c=cc4(c3(c(cc2(c1(c(=o)co)o)c)o)cl)c,Hepatobiliary disorders,0
ccoc(=o)c(ccc1=cc=cc=c1)nc2ccc3=cc=cc=c3n(c2=o)cc(=o)o,Hepatobiliary disorders,0
c1=cc=c(c=c1)cc2nc3=c(c=c(c(=c3)c(f)(f)f)s(=o)(=o)n)s(=o)(=o)n2,Hepatobiliary disorders,0
cc(cc1=cc(=cc=c1)c(f)(f)f)nccoc(=o)c2=cc=cc=c2,Hepatobiliary disorders,0
cc1=c(c(c(=c(n1)c)c(=o)oc2cccn(c2)cc3=cc=cc=c3)c4=cc(=cc=c4)[n+](=o)[o-])c(=o)oc,Hepatobiliary disorders,0
ccc1=c(c2=cc=cc=c2o1)c(=o)c3=cc(=c(c(=c3)br)o)br,Hepatobiliary disorders,0
cn1c2ccc1cc(c2)oc(c3=cc=cc=c3)c4=cc=cc=c4,Hepatobiliary disorders,0
cc1(c(n2c(s1)c(c2=o)nc(=o)cc3=cc=cc=c3)c(=o)o)c,Hepatobiliary disorders,0
cc(c)cocc(cn(cc1=cc=cc=c1)c2=cc=cc=c2)n3cccc3,Hepatobiliary disorders,0
cc#ccc(c)c(c=cc1c(cc2c1c3=c(o2)c(=cc=c3)cccc(=o)o)o)o,Hepatobiliary disorders,0
cnccc1=cc=cc=n1,Hepatobiliary disorders,0
cc1cc2c3ccc4=cc(=o)c=cc4(c3(c(cc2(c1(c(=o)cop(=o)(o)o)o)c)o)f)c,Hepatobiliary disorders,0
cc(c)ncc(coc1=cc=c(c=c1)ccocc2cc2)o,Hepatobiliary disorders,0
cc(c[n+](c)(c)c)oc(=o)n,Hepatobiliary disorders,0
cc(cs(=o)(=o)c1=cc=c(c=c1)f)(c(=o)nc2=cc(=c(c=c2)c#n)c(f)(f)f)o,Hepatobiliary disorders,0
c1ccn(cc1)ccc(c2cc3cc2c=c3)(c4=cc=cc=c4)o,Hepatobiliary disorders,0
cc(=o)oc1=cc=c(c=c1)c(c2=cc=c(c=c2)oc(=o)c)c3=cc=cc=n3,Hepatobiliary disorders,0
cc(c)ncc(coc1=cc=c(c=c1)coccoc(c)c)o,Hepatobiliary disorders,0
c1cn=c(n1)nc2=c(c3=nc=cn=c3c=c2)br,Hepatobiliary disorders,0
c1c(=o)nc2=c(c=c(c=c2)br)c(=n1)c3=cc=cc=n3,Hepatobiliary disorders,0
cc(c)cc1c(=o)n2cccc2c3(n1c(=o)c(o3)(c(c)c)nc(=o)c4cn(c5cc6=c(nc7=cc=cc(=c67)c5=c4)br)c)o,Hepatobiliary disorders,0
ccn(cc)ccnc(=o)c1=cc(=c(c=c1oc)n)br,Hepatobiliary disorders,0
cc1=nn=c2n1c3=c(c=c(s3)br)c(=nc2)c4=cc=cc=c4cl,Hepatobiliary disorders,0
cc(c)(c(=o)nc(cs)c(=o)o)s,Hepatobiliary disorders,0
cccc1oc2cc3c4ccc5=cc(=o)c=cc5(c4c(cc3(c2(o1)c(=o)co)c)o)c,Hepatobiliary disorders,0
coc1=cc(=c(c(=c1)oc)c(=o)cccn2cccc2)oc,Hepatobiliary disorders,0
ccccnc1=c(c(=cc(=c1)c(=o)o)s(=o)(=o)n)oc2=cc=cc=c2,Hepatobiliary disorders,0
ccccn1ccccc1c(=o)nc2=c(c=cc=c2c)c,Hepatobiliary disorders,0
cc(c)(c)c(c)(c1cc23ccc1(c4c25ccn(c3cc6=c5c(=c(c=c6)o)o4)cc7cc7)oc)o,Hepatobiliary disorders,0
c1ccc2(c1)cc(=o)n(c(=o)c2)ccccn3ccn(cc3)c4=nc=cc=n4,Hepatobiliary disorders,0
cs(=o)(=o)occccos(=o)(=o)c,Hepatobiliary disorders,0
cc(c)cc1(c(=o)nc(=o)nc1=o)cc=c,Hepatobiliary disorders,0
c1ccc2(c3cc4=c(c2(c1)ccn3cc5ccc5)c=c(c=c4)o)o,Hepatobiliary disorders,0
ccnc(=o)n(cccn(c)c)c(=o)c1cc2c(cc3=cnc4=cc=cc2=c34)n(c1)cc=c,Hepatobiliary disorders,0
cn1c=nc2=c1c(=o)n(c(=o)n2c)c,Hepatobiliary disorders,0
cc(c)c(cccn(c)ccc1=cc(=c(c=c1)oc)oc)(c#n)c2=cc(=c(c=c2)oc)oc,Hepatobiliary disorders,0
cc(c=cc(c1cc1)o)c2ccc3c2(cccc3=cc=c4cc(cc(c4=c)o)o)c,Hepatobiliary disorders,0
cc(cccc(c)(c)o)c1ccc2c1(cccc2=cc=c3cc(cc(c3=c)o)o)c,Hepatobiliary disorders,0
cn(c)c(=o)coc(=o)cc1=cc=c(c=c1)oc(=o)c2=cc=c(c=c2)n=c(n)n,Hepatobiliary disorders,0
ccoc1=nc2=cc=cc(=c2n1cc3=cc=c(c=c3)c4=cc=cc=c4c5=nnn=n5)c(=o)oc(c)oc(=o)oc6ccccc6,Hepatobiliary disorders,0
ccoc1=nc2=cc=cc(=c2n1cc3=cc=c(c=c3)c4=cc=cc=c4c5=nnn=n5)c(=o)o,Hepatobiliary disorders,0
cc(c)c=cccccc(=o)ncc1=cc(=c(c=c1)o)oc,Hepatobiliary disorders,0
cc(cs)c(=o)n1cccc1c(=o)o,Hepatobiliary disorders,0
c1=cc=c2c(=c1)c=cc3=cc=cc=c3n2c(=o)n,Hepatobiliary disorders,0
cc(cc1=cc(=c(c=c1)o)o)(c(=o)o)nn,Hepatobiliary disorders,0
cccc(c)(coc(=o)n)coc(=o)nc(c)c,Hepatobiliary disorders,0
c(ccl)nc(=o)n(cccl)n=o,Hepatobiliary disorders,0
cc(c)(c)ncc(coc1=cc=cc2=c1ccc(=o)n2)o,Hepatobiliary disorders,0
coc1=cc=cc=c1occncc(coc2=cc=cc3=c2c4=cc=cc=c4n3)o,Hepatobiliary disorders,0
c1c(=c(n2c(s1)c(c2=o)nc(=o)c(c3=cc=cc=c3)n)c(=o)o)cl,Hepatobiliary disorders,0
cc1=c(n2c(c(c2=o)nc(=o)c(c3=cc=c(c=c3)o)n)sc1)c(=o)o,Hepatobiliary disorders,0
cc1=nn=c(s1)scc2=c(n3c(c(c3=o)nc(=o)cn4c=nn=n4)sc2)c(=o)[o-],Hepatobiliary disorders,0
c[n+]1(cccc1)cc2=c(n3c(c(c3=o)nc(=o)c(=noc)c4=csc(=n4)n)sc2)c(=o)[o-],Hepatobiliary disorders,0
cn1c(=nn=n1)scc2=c(n3c(c(c3=o)(nc(=o)cscc#n)oc)sc2)c(=o)[o-],Hepatobiliary disorders,0
cc(=o)occ1=c(n2c(c(c2=o)nc(=o)c(=noc)c3=csc(=n3)n)sc1)c(=o)[o-],Hepatobiliary disorders,0
cn(c)ccn1c(=nn=n1)scc2=c(n3c(c(c3=o)nc(=o)cc4=csc(=n4)n)sc2)c(=o)o,Hepatobiliary disorders,0
coc1(c2n(c1=o)c(=c(cs2)coc(=o)n)c(=o)[o-])nc(=o)cc3=cc=cs3,Hepatobiliary disorders,0
con=c(c1=nsc(=n1)n)c(=o)nc2c3n(c2=o)c(=c(cs3)c[n+]4=c5c=cc=nn5c=c4)c(=o)o,Hepatobiliary disorders,0
cc(c)oc(=o)oc(c)oc(=o)c1=c(csc2n1c(=o)c2nc(=o)c(=noc)c3=csc(=n3)n)coc,Hepatobiliary disorders,0
cc=cc1=c(n2c(c(c2=o)nc(=o)c(c3=cc=c(c=c3)o)n)sc1)c(=o)o,Hepatobiliary disorders,0
cc(c)(c(=o)o)on=c(c1=csc(=n1)n)c(=o)nc2c3n(c2=o)c(=c(cs3)c[n+]4=cc=cc=c4)c(=o)[o-],Hepatobiliary disorders,0
cn1c(=nc(=o)c(=n1)[o-])scc2=c(n3c(c(c3=o)nc(=o)c(=noc)c4=csc(=n4)n)sc2)c(=o)[o-],Hepatobiliary disorders,0
con=c(c1=cc=co1)c(=o)nc2c3n(c2=o)c(=c(cs3)coc(=o)n)c(=o)[o-],Hepatobiliary disorders,0
cc1=cc=c(c=c1)c2=cc(=nn2c3=cc=c(c=c3)s(=o)(=o)n)c(f)(f)f,Hepatobiliary disorders,0
ccn(cc)c(=o)nc1=cc(=c(c=c1)occ(cnc(c)(c)c)o)c(=o)c,Hepatobiliary disorders,0
cc1=c(n2c(c(c2=o)nc(=o)c(c3=cc=cc=c3)n)sc1)c(=o)o,Hepatobiliary disorders,0
c=cc1=c(n2c(c(c2=o)nc(=o)c(=nocc(=o)o)c3=csc(=n3)n)sc1)c(=o)o,Hepatobiliary disorders,0
cc(c)c1=c(c(=c(c(=n1)c(c)c)c=cc(cc(cc(=o)o)o)o)c2=cc=c(c=c2)f)coc,Hepatobiliary disorders,0
c1cn(ccn1ccocc(=o)o)c(c2=cc=cc=c2)c3=cc=c(c=c3)cl,Hepatobiliary disorders,0
c1cc(ccc1cn)c(=o)oc2=cc=c(c=c2)ccc(=o)o,Hepatobiliary disorders,0
cc1oc2(cn3ccc2cc3)cs1,Hepatobiliary disorders,0
c(c(cl)(cl)cl)(o)o,Hepatobiliary disorders,0
c1=cc(=cc=c1cccc(=o)o)n(cccl)cccl,Hepatobiliary disorders,0
cn=c1cn(c(=c2c=c(c=cc2=n1)cl)c3=cc=cc=c3)o,Hepatobiliary disorders,0
c1=cc(=cc=c1nc(=nc(=nccccccn=c(n)n=c(n)nc2=cc=c(c=c2)cl)n)n)cl,Hepatobiliary disorders,0
ccn(cc)cccc(c)nc1=c2c=cc(=cc2=nc=c1)cl,Hepatobiliary disorders,0
c1=c2c(=cc(=c1cl)s(=o)(=o)n)s(=o)(=o)n=cn2,Hepatobiliary disorders,0
cn(c)ccc(c1=cc=c(c=c1)cl)c2=cc=cc=n2,Hepatobiliary disorders,0
cn(c)cccn1c2=cc=cc=c2sc3=c1c=c(c=c3)cl,Hepatobiliary disorders,0
cccnc(=o)ns(=o)(=o)c1=cc=c(c=c1)cl,Hepatobiliary disorders,0
cn(c)ccc=c1c2=cc=cc=c2sc3=c1c=c(c=c3)cl,Hepatobiliary disorders,0
c1=cc=c2c(=c1)c(=o)nc2(c3=cc(=c(c=c3)cl)s(=o)(=o)n)o,Hepatobiliary disorders,0
c1=cc2=c(c=c1cl)nc(=o)o2,Hepatobiliary disorders,0
cc(c)cccc(c)c1ccc2c1(cccc2=cc=c3cc(ccc3=c)o)c,Hepatobiliary disorders,0
c1cn=c(n1)c2cc2(c3=cc=cc=c3)c4=cc=cc=c4,Hepatobiliary disorders,0
cc1=cc(=o)n(c(=c1)c2ccccc2)o,Hepatobiliary disorders,0
ccoc(=o)c(ccc1=cc=cc=c1)nc2cccn3cccc(n3c2=o)c(=o)o,Hepatobiliary disorders,0
cc1=c(c(c(=c(n1)c)c(=o)occ=cc2=cc=cc=c2)c3=cc(=cc=c3)[n+](=o)[o-])c(=o)occoc,Hepatobiliary disorders,1
c1ccc(cc1)n2c(=nn=n2)ccccoc3=cc4=c(c=c3)nc(=o)cc4,Hepatobiliary disorders,1
cc1=c(n=cn1)csccnc(=nc)nc#n,Hepatobiliary disorders,1
c1cn(ccn1cc=cc2=cc=cc=c2)c(c3=cc=cc=c3)c4=cc=cc=c4,Hepatobiliary disorders,1
cc(c)(c(=o)o)oc1=cc=c(c=c1)c2cc2(cl)cl,Hepatobiliary disorders,1
c1cc1n2c=c(c(=o)c3=cc(=c(c=c32)n4ccncc4)f)c(=o)o,Hepatobiliary disorders,1
cl[pt+2]cl,Hepatobiliary disorders,1
coc1cn(ccc1nc(=o)c2=cc(=c(c=c2oc)n)cl)cccoc3=cc=c(c=c3)f,Hepatobiliary disorders,1
cl[pt]cl,Hepatobiliary disorders,1
cn(c)cccc1(c2=c(co1)c=c(c=c2)c#n)c3=cc=c(c=c3)f,Hepatobiliary disorders,1
cc(c1=cc=cc=c1)(c2=cc=c(c=c2)cl)occc3cccn3c,Hepatobiliary disorders,1
cc(c)(c)ncc(c1=cc(=c(c(=c1)cl)n)cl)o,Hepatobiliary disorders,1
cccc1cc(n(c1)c)c(=o)nc(c2c(c(c(c(o2)sc)o)o)o)c(c)cl,Hepatobiliary disorders,1
cn1c(=o)cc(=o)n(c2=c1c=cc(=c2)cl)c3=cc=cc=c3,Hepatobiliary disorders,1
ccc(=o)oc1(c(cc2c1(cc(c3(c2ccc4=cc(=o)c=cc43c)f)o)c)c)c(=o)ccl,Hepatobiliary disorders,1
ccn(cc)ccoc1=cc=c(c=c1)c(=c(c2=cc=cc=c2)cl)c3=cc=cc=c3,Hepatobiliary disorders,1
cn(c)cccn1c2=cc=cc=c2ccc3=c1c=c(c=c3)cl,Hepatobiliary disorders,1
c1c(=o)nc2=c(c=c(c=c2)[n+](=o)[o-])c(=n1)c3=cc=cc=c3cl,Hepatobiliary disorders,1
c1cn=c(n1)nc2=c(c=cc=c2cl)cl,Hepatobiliary disorders,1
coc(=o)c(c1=cc=cc=c1cl)n2ccc3=c(c2)c=cs3,Hepatobiliary disorders,1
c1=cc=c(c=c1)c2=nc(c(=o)nc3=c2c=c(c=c3)cl)c(=o)o,Hepatobiliary disorders,1
ccc1=cc2=c(s1)n(c(=o)cn=c2c3=cc=cc=c3cl)c,Hepatobiliary disorders,1
c1=cc=c(c=c1)c(c2=cc=cc=c2)(c3=cc=cc=c3cl)n4c=cn=c4,Hepatobiliary disorders,1
cc1=c(c(=no1)c2=cc=cc=c2cl)c(=o)nc3c4n(c3=o)c(c(s4)(c)c)c(=o)[o-],Hepatobiliary disorders,1
c1coc2(n1cc(=o)nc3=c2c=c(c=c3)cl)c4=cc=cc=c4cl,Hepatobiliary disorders,1
